Symbol,Month,DeliveryPct,TotalDelivQty,TotalTrdQty,Days
AIRAN,2026-04,70.5,1238723,1757085,23
AIRAN,2026-05,70.53,878694,1245845,18
AIROLAM,2026-03,84.43,3860,4572,2
AIROLAM,2026-04,59.05,67508,114315,23
AIROLAM,2026-05,81.58,20884,25598,18
AJANTPHARM,2026-03,68.49,209434,305778,2
AJANTPHARM,2026-04,53.43,956542,1790126,23
AJANTPHARM,2026-05,45.92,1337953,2913766,18
AJAXENGG,2026-03,52.7,171944,326268,2
AJAXENGG,2026-04,67.34,2231893,3314564,23
AJAXENGG,2026-05,51.53,781006,1515506,18
AJMERA,2026-03,49.56,527220,1063894,2
AJMERA,2026-04,44.6,4025502,9026263,23
AJMERA,2026-05,32.79,5674924,17306488,18
AJOONI,2026-03,72.43,740138,1021906,2
AJOONI,2026-04,72.26,5986605,8284806,23
AJOONI,2026-05,65.79,2965171,4507079,18
AKASH,2026-03,85.18,8186,9610,2
AKASH,2026-04,71.36,172618,241897,23
AKASH,2026-05,63.38,86478,136439,18
AKCAPIT,2026-04,92.1,3685,4001,10
AKCAPIT,2026-05,80.97,7607,9395,18
AKG,2026-03,70.76,44846,63382,2
AKG,2026-04,75.45,292376,387490,23
AKG,2026-05,59.54,318392,534788,18
AKI,2026-03,81.6,233886,286634,2
AKI,2026-04,70.04,1932356,2758951,23
AKI,2026-05,61.73,1216081,1969962,18
AKSHAR,2026-03,77.14,2726420,3534354,2
AKSHAR,2026-04,66.7,30352697,45503492,23
AKSHAR,2026-05,69.78,16429726,23543867,18
AKSHARCHEM,2026-03,74.73,20148,26960,2
AKSHARCHEM,2026-04,55.16,75212,136351,23
AKSHARCHEM,2026-05,71.68,31240,43581,18
AKSHOPTFBR,2026-03,70.75,975018,1378126,2
AKSHOPTFBR,2026-04,55.0,2925129,5318406,12
AKUMS,2026-03,49.37,169638,343630,2
AKUMS,2026-04,51.52,2424008,4705401,23
AKUMS,2026-05,54.72,2934007,5362089,18
AKZOINDIA,2026-03,62.24,65770,105664,2
AKZOINDIA,2026-04,53.15,242210,455670,10
ALANKIT,2026-03,78.05,1060214,1358382,2
ALANKIT,2026-04,66.2,4138794,6252187,23
ALANKIT,2026-05,69.25,2021989,2919992,18
ALBERTDAVD,2026-03,63.65,13778,21646,2
ALBERTDAVD,2026-04,45.9,63278,137872,23
ALBERTDAVD,2026-05,66.74,81853,122650,18
ALEMBICLTD,2026-03,59.0,803912,1362522,2
ALEMBICLTD,2026-04,46.77,2780613,5945620,23
ALEMBICLTD,2026-05,48.3,1911827,3958404,18
ALGOQUANT,2026-03,18.01,312772,1736820,2
ALGOQUANT,2026-04,16.67,4118858,24702716,23
ALGOQUANT,2026-05,18.71,5088408,27203319,18
ALICON,2026-03,57.8,26166,45266,2
ALICON,2026-04,48.71,156115,320500,23
ALICON,2026-05,52.42,180050,343505,18
ALIVUS,2026-03,44.39,57254,128966,2
ALIVUS,2026-04,61.17,1740800,2845976,23
ALIVUS,2026-05,52.65,971010,1844314,18
ALKALI,2026-03,73.62,33206,45106,2
ALKALI,2026-04,52.22,189337,362544,23
ALKALI,2026-05,67.03,240545,358840,18
ALKEM,2026-03,53.62,195948,365458,2
ALKEM,2026-04,51.46,1558595,3028743,23
ALKEM,2026-05,41.49,598995,1443636,18
ALKYLAMINE,2026-03,35.56,116266,326968,2
ALKYLAMINE,2026-04,37.04,501379,1353784,23
ALKYLAMINE,2026-05,12.62,964397,7641089,18
ALLCARGO,2026-03,63.5,14247132,22435988,2
ALLCARGO,2026-04,46.06,72097279,156538611,23
ALLCARGO,2026-05,50.81,37653608,74105605,18
ALLDIGI,2026-03,65.0,21814,33562,2
ALLDIGI,2026-04,55.92,99713,178306,23
ALLDIGI,2026-05,62.3,99338,159448,18
ALLTIME,2026-03,70.52,102812,145796,2
ALLTIME,2026-04,14.91,1054514,7071715,23
ALLTIME,2026-05,54.47,716987,1316189,18
ALMONDZ,2026-03,62.77,268614,427918,2
ALMONDZ,2026-04,69.32,1660300,2395195,23
ALMONDZ,2026-05,75.73,1165644,1539216,18
ALOKINDS,2026-03,51.7,12408496,24000166,2
ALOKINDS,2026-04,37.59,60592434,161197417,23
ALOKINDS,2026-05,45.47,56631512,124536150,18
ALPA,2026-03,72.3,129270,178808,2
ALPA,2026-04,48.0,444330,925763,23
ALPA,2026-05,69.56,170659,245331,18
ALPHA,2026-03,74.14,5612472,7569990,2
ALPHA,2026-04,63.87,25663120,40179404,23
ALPHA,2026-05,63.54,15862228,24962486,18
ALPHAETF,2026-03,61.21,1521580,2485710,2
ALPHAETF,2026-04,63.25,9544703,15090372,23
ALPHAETF,2026-05,70.79,6814736,9626381,18
ALPHAGEO,2026-03,50.34,24386,48440,2
ALPHAGEO,2026-04,40.1,192262,479452,23
ALPHAGEO,2026-05,59.55,115720,194310,18
ALPL30IETF,2026-03,56.84,822216,1446590,2
ALPL30IETF,2026-04,78.11,18825873,24102477,23
ALPL30IETF,2026-05,74.68,14976183,20053957,18
AMAGI,2026-03,67.02,234946,350556,2
AMAGI,2026-04,63.31,4341489,6857352,23
AMAGI,2026-05,43.17,1464411,3392344,18
AMANTA,2026-03,63.19,123934,196128,2
AMANTA,2026-04,56.23,2740635,4874309,23
AMANTA,2026-05,52.85,1023560,1936846,18
AMBALALSA,2026-04,62.27,602066,966918,10
AMBALALSA,2026-05,57.09,879176,1540109,18
AMBER,2026-03,19.38,104668,540070,2
AMBER,2026-04,26.23,1994709,7604614,23
AMBER,2026-05,27.99,2902657,10368866,18
AMBICAAGAR,2026-03,40.45,9506,23502,2
AMBICAAGAR,2026-04,73.87,110275,149283,23
AMBICAAGAR,2026-05,84.05,52942,62989,18
AMBIKCO,2026-03,59.9,28046,46818,2
AMBIKCO,2026-04,58.03,109702,189039,23
AMBIKCO,2026-05,45.09,196198,435087,18
AMBUJACEM,2026-03,49.55,4611948,9307868,2
AMBUJACEM,2026-04,42.36,27774833,65572449,23
AMBUJACEM,2026-05,39.01,29595829,75862875,18
AMDIND,2026-03,62.03,15138,24404,2
AMDIND,2026-04,60.85,132486,217723,23
AMDIND,2026-05,62.16,154764,248988,18
AMIRCHAND,2026-04,52.47,50219168,95711416,22
AMIRCHAND,2026-05,51.15,5518688,10789317,18
AMJLAND,2026-03,64.27,71184,110766,2
AMJLAND,2026-04,54.49,281091,515905,23
AMJLAND,2026-05,71.04,164776,231938,18
AMNPLST,2026-03,48.34,21594,44668,2
AMNPLST,2026-04,43.78,73506,167917,23
AMNPLST,2026-05,19.0,173027,910852,18
AMRUTANJAN,2026-03,63.28,40586,64142,2
AMRUTANJAN,2026-04,53.23,286977,539107,23
AMRUTANJAN,2026-05,54.29,384020,707288,18
ANANDRATHI,2026-03,58.13,139954,240744,2
ANANDRATHI,2026-04,41.94,3286736,7836451,23
ANANDRATHI,2026-05,61.16,2924382,4781804,18
ANANTRAJ,2026-03,45.68,3793296,8304796,2
ANANTRAJ,2026-04,25.28,16026724,63386714,23
ANANTRAJ,2026-05,34.78,15668028,45044283,18
ANDHRAPAP,2026-03,62.01,275246,443884,2
ANDHRAPAP,2026-04,69.72,3924659,5628842,23
ANDHRAPAP,2026-05,58.81,759398,1291223,18
ANDHRSUGAR,2026-03,35.01,314060,897106,2
ANDHRSUGAR,2026-04,37.7,6814809,18076345,23
ANDHRSUGAR,2026-05,46.34,3663119,7904381,18
ANGELONE,2026-03,46.91,6289128,13408162,2
ANGELONE,2026-04,27.93,86542650,309888467,23
ANGELONE,2026-05,30.96,48170459,155577554,18
ANIKINDS,2026-03,68.25,19366,28374,2
ANIKINDS,2026-04,55.27,154369,279321,12
ANMOL,2026-03,82.38,249196,302494,2
ANMOL,2026-04,59.48,1199460,2016741,23
ANMOL,2026-05,69.98,430747,615564,18
ANTELOPUS,2026-03,16.61,334306,2012228,2
ANTELOPUS,2026-04,42.3,2364169,5589166,23
ANTELOPUS,2026-05,45.95,1717545,3738164,18
ANTGRAPHIC,2026-03,56.15,837162,1490976,2
ANTGRAPHIC,2026-04,71.96,3404233,4730664,23
ANTGRAPHIC,2026-05,69.72,3331815,4779133,18
ANTHEM,2026-03,58.02,465832,802910,2
ANTHEM,2026-04,58.94,4776039,8103395,23
ANTHEM,2026-05,50.07,3824504,7638965,18
ANUHPHR,2026-03,75.12,195404,260128,2
ANUHPHR,2026-04,61.25,555961,907720,23
ANUHPHR,2026-05,58.71,661022,1125953,18
ANUP,2026-03,46.88,50584,107906,2
ANUP,2026-04,45.39,518568,1142365,23
ANUP,2026-05,49.6,227270,458235,18
ANURAS,2026-03,62.33,195136,313092,2
ANURAS,2026-04,53.99,3053302,5655527,23
ANURAS,2026-05,41.88,2994621,7149970,18
AONEGOLD,2026-03,59.18,1226878,2073272,2
AONEGOLD,2026-04,55.37,8358157,15094613,23
AONEGOLD,2026-05,63.94,8076479,12631245,18
AONELIQUID,2026-03,42.38,10052,23716,2
AONELIQUID,2026-04,79.47,1116240,1404689,23
AONELIQUID,2026-05,81.49,486494,596972,18
AONENIFTY,2026-03,51.76,645694,1247432,2
AONENIFTY,2026-04,72.33,8437859,11665780,23
AONENIFTY,2026-05,72.77,3856503,5299384,18
AONESILVER,2026-03,61.28,609970,995392,2
AONESILVER,2026-04,56.29,8921610,15849038,23
AONESILVER,2026-05,56.02,9304124,16608971,18
AONETMMQ50,2026-03,68.7,210562,306494,2
AONETMMQ50,2026-04,77.83,1770295,2274492,23
AONETMMQ50,2026-05,71.38,968458,1356688,18
AONETOTAL,2026-03,63.4,600016,946328,2
AONETOTAL,2026-04,55.36,4638157,8378884,23
AONETOTAL,2026-05,61.88,2668927,4313160,18
APARINDS,2026-03,32.69,96596,295450,2
APARINDS,2026-04,36.08,1164634,3227505,23
APARINDS,2026-05,40.1,687787,1715335,18
APCL,2026-03,78.39,28864,36822,2
APCL,2026-04,64.69,68282,105545,23
APCL,2026-05,61.64,85213,138247,18
APCOTEXIND,2026-03,61.6,75286,122226,2
APCOTEXIND,2026-04,53.3,303754,569881,23
APCOTEXIND,2026-05,33.21,1239030,3731008,18
APEX,2026-03,21.76,216736,995988,2
APEX,2026-04,17.57,4731768,26933951,23
APEX,2026-05,25.83,2730946,10571095,18
APLAPOLLO,2026-03,50.92,820056,1610532,2
APLAPOLLO,2026-04,56.17,9134705,16263369,23
APLAPOLLO,2026-05,54.47,7401345,13587853,18
APLLTD,2026-03,43.8,68138,155568,2
APLLTD,2026-04,43.51,736886,1693735,23
APLLTD,2026-05,52.68,1863082,3536767,18
APOLLO,2026-03,31.27,4332606,13855222,2
APOLLO,2026-04,20.8,70625537,339485196,23
APOLLO,2026-05,14.57,83384060,572170261,18
APOLLOHOSP,2026-03,30.73,469824,1529016,2
APOLLOHOSP,2026-04,57.65,5051558,8762728,23
APOLLOHOSP,2026-05,54.29,4580127,8436161,18
APOLLOPIPE,2026-03,25.77,201858,783232,2
APOLLOPIPE,2026-04,31.95,5655347,17698591,23
APOLLOPIPE,2026-05,31.83,3428231,10771820,18
APOLLOTYRE,2026-03,53.1,1102822,2076934,2
APOLLOTYRE,2026-04,46.73,8276086,17711703,23
APOLLOTYRE,2026-05,48.24,20048483,41559986,18
APOLSINHOT,2026-03,69.88,3360,4808,2
APOLSINHOT,2026-04,67.8,14293,21081,23
APOLSINHOT,2026-05,65.22,6858,10515,18
APTECHT,2026-03,45.36,489676,1079570,2
APTECHT,2026-04,37.02,3520866,9510213,23
APTECHT,2026-05,25.03,4383255,17508545,18
APTUS,2026-03,57.82,3850866,6659942,2
APTUS,2026-04,55.16,30139978,54637756,23
APTUS,2026-05,30.53,12325128,40373872,18
AQYLON,2026-03,99.54,17484,17564,2
AQYLON,2026-04,49.94,32301488,64674460,23
AQYLON,2026-05,35.96,27547343,76601986,18
ARCHIDPLY,2026-03,49.13,68952,140354,2
ARCHIDPLY,2026-04,56.03,401278,716198,23
ARCHIDPLY,2026-05,59.69,181467,304033,18
ARCHIES,2026-03,72.5,140036,193150,2
ARCHIES,2026-04,61.75,488611,791253,23
ARCHIES,2026-05,72.71,314684,432767,18
ARE&M,2026-03,52.86,1225932,2319382,2
ARE&M,2026-04,14.11,10053127,71231292,23
ARE&M,2026-05,20.78,5118249,24633295,18
ARENTERP,2026-03,80.97,4196,5182,2
ARENTERP,2026-04,72.24,36860,51023,23
ARENTERP,2026-05,53.78,15488,28797,17
ARFIN,2026-03,19.35,357762,1849296,2
ARFIN,2026-04,34.31,11865080,34585284,23
ARFIN,2026-05,16.68,8460072,50706612,18
ARIES,2026-03,53.7,46926,87386,2
ARIES,2026-04,51.76,384563,742943,23
ARIES,2026-05,51.2,218598,426957,18
ARIHANT,2026-04,60.2,14818,24615,10
ARIHANT,2026-05,59.94,38178,63697,18
ARIHANTCAP,2026-03,49.62,363768,733070,2
ARIHANTCAP,2026-04,41.29,2982876,7225069,23
ARIHANTCAP,2026-05,39.29,1640736,4176003,18
ARIHANTSUP,2026-03,61.36,30864,50302,2
ARIHANTSUP,2026-04,27.2,368184,1353808,23
ARIHANTSUP,2026-05,10.05,1053042,10480541,18
ARIS,2026-03,52.67,700192,1329342,2
ARIS,2026-04,48.6,14319691,29464955,23
ARIS,2026-05,39.18,11298749,28840961,18
ARKADE,2026-03,61.52,1003784,1631508,2
ARKADE,2026-04,33.9,3712492,10951322,23
ARKADE,2026-05,43.27,2965380,6853420,18
ARMANFIN,2026-03,54.69,71774,131238,2
ARMANFIN,2026-04,54.1,488343,902743,23
ARMANFIN,2026-05,48.72,616589,1265670,18
AROGRANITE,2026-03,64.16,66228,103220,2
AROGRANITE,2026-04,57.35,257928,449751,23
AROGRANITE,2026-05,76.19,103980,136474,18
ARROWGREEN,2026-03,18.7,328932,1758928,2
ARROWGREEN,2026-04,21.71,490903,2261306,23
ARROWGREEN,2026-05,48.69,494895,1016371,18
ARSSBL,2026-03,49.38,442490,896062,2
ARSSBL,2026-04,33.81,6840319,20233858,23
ARSSBL,2026-05,40.5,2944825,7270855,18
ARTEMISMED,2026-03,55.65,302238,543092,2
ARTEMISMED,2026-04,50.93,2090059,4103500,23
ARTEMISMED,2026-05,46.03,2023667,4396622,18
ARTNIRMAN,2026-03,87.83,18682,21270,2
ARTNIRMAN,2026-04,49.91,179458,359530,12
ARTNIRMAN,2026-05,85.77,10316,12027,7
ARVEE,2026-03,49.75,4504,9054,2
ARVEE,2026-04,65.97,37918,57481,23
ARVEE,2026-05,71.19,11911,16732,18
ARVIND,2026-03,53.07,392492,739638,2
ARVIND,2026-04,45.22,3505035,7751246,23
